"Student","respondent","gender","age","education","area","mileage","power","design","comfort","entertainment","environment"
4609875,39,1,60,4,1,6,6,2,1,7,2
4609875,40,2,71,4,1,2,3,3,7,6,1
4609875,41,1,21,4,1,3,4,2,1,4,4
4609875,42,1,43,4,1,7,4,1,1,6,2
4609875,43,2,52,2,1,7,5,5,2,2,2
4609875,44,2,58,4,3,2,3,6,6,7,6
4609875,45,1,35,2,2,5,4,3,1,5,5
4609875,46,1,73,5,3,2,1,6,1,2,4
4609875,47,1,29,5,4,1,4,5,7,1,3
4609875,48,1,32,1,2,6,7,2,7,3,5
4609875,49,1,31,5,2,6,5,5,7,6,5
4609875,50,1,60,4,2,7,3,5,6,2,2
4609875,51,1,62,5,1,1,4,4,3,6,2
4609875,52,2,69,1,3,7,4,3,5,1,2
4609875,53,2,69,4,2,5,4,4,5,6,1
4609875,54,2,64,5,4,4,2,4,6,7,6
4609875,55,1,49,3,3,6,5,2,5,5,3
4609875,56,2,72,5,2,7,6,4,4,3,6
4609875,57,2,41,2,4,1,4,5,6,7,4
4609875,58,2,50,3,4,4,6,6,3,7,3
4609875,59,2,26,3,3,3,4,4,4,5,1
4609875,60,1,24,5,1,1,7,4,7,3,7
4609875,61,1,73,4,1,7,3,4,4,2,6
4609875,62,1,48,5,1,7,4,7,4,1,4
4609875,63,1,35,4,2,6,5,5,3,3,2
4609875,64,2,68,5,4,5,2,7,5,2,3
4609875,65,2,19,5,2,3,5,3,4,1,4
4609875,66,2,65,3,2,2,3,3,2,6,6
4609875,67,2,73,4,3,6,6,4,1,6,1
4609875,68,2,53,4,1,6,1,6,6,1,1
4609875,69,1,60,2,3,6,6,4,1,6,6
4609875,70,1,28,1,4,3,1,2,4,3,7
4609875,71,1,51,4,3,3,7,4,1,6,2
4609875,72,1,62,4,2,4,3,5,5,7,3
4609875,73,2,64,1,1,2,3,1,5,6,7
4609875,74,2,55,1,4,7,3,4,2,7,2
4609875,75,1,50,3,3,2,6,1,2,3,5
4609875,76,1,60,4,3,2,6,1,3,2,6
4609875,77,2,58,2,3,7,2,1,7,6,5
4609875,78,2,27,2,1,3,4,7,3,4,5
4609875,79,2,47,1,2,4,3,2,6,3,6
4609875,80,1,35,3,1,4,6,6,2,1,2
4609875,81,2,69,4,2,6,3,3,1,6,1
4609875,82,2,54,2,2,7,4,3,4,1,7
4609875,83,1,58,4,4,5,2,4,6,7,7
4609875,84,1,66,2,3,5,1,6,7,6,6
4609875,85,2,56,1,4,3,4,3,1,1,6
4609875,86,2,21,1,2,5,7,7,2,2,6
4609875,87,1,52,4,1,2,1,2,3,2,3
4609875,88,1,60,1,2,1,2,1,6,7,1
4609875,89,1,51,4,4,7,5,6,7,6,6
4609875,90,2,51,1,1,1,1,6,3,6,6
4609875,91,1,24,5,1,5,5,1,5,2,6
4609875,92,1,20,5,1,3,7,5,6,5,3
4609875,93,2,62,1,4,2,5,7,3,3,4
4609875,94,1,66,2,4,6,7,6,5,7,2
4609875,95,1,39,5,4,7,1,4,6,5,5
4609875,96,1,39,4,1,3,3,3,7,3,4
4609875,97,2,63,5,2,6,5,2,4,2,5
4609875,98,2,52,3,1,4,2,7,1,6,6
4609875,99,2,66,4,4,5,7,6,7,1,5
4609875,100,1,60,1,1,5,6,3,5,1,5
4609875,101,2,35,4,3,1,7,6,3,5,2
4609875,102,2,46,2,3,7,5,1,3,2,6
4609875,103,2,34,5,1,5,2,4,7,2,1
4609875,104,1,71,3,2,4,6,5,4,1,3
4609875,105,2,50,5,2,3,2,2,7,7,6
4609875,106,2,42,4,3,2,7,3,4,6,6
4609875,107,1,53,3,2,2,1,5,2,1,6
4609875,108,1,42,1,2,3,3,1,1,2,2
4609875,109,1,46,5,1,3,3,1,2,5,2
4609875,110,1,46,5,4,6,6,3,7,2,2
4609875,111,1,29,4,1,5,5,7,1,5,3
4609875,112,2,62,4,1,5,5,3,2,7,6
4609875,113,1,50,5,1,6,5,1,4,3,6
4609875,114,2,65,1,2,7,5,4,5,3,7
4609875,115,2,20,2,3,5,4,7,2,3,2
4609875,116,2,41,4,1,4,2,3,3,2,4
4609875,117,2,35,3,2,5,3,4,4,6,5
4609875,118,2,37,1,4,2,6,1,7,2,5
4609875,119,2,26,1,3,3,5,5,5,6,3
4609875,120,1,46,5,1,5,3,6,4,3,7
4609875,121,1,27,4,4,7,1,2,6,1,4
4609875,122,1,51,4,3,2,2,7,4,4,7
4609875,123,2,71,4,2,5,6,7,4,5,4
4609875,124,1,55,3,4,2,1,1,2,1,6
4609875,125,2,28,3,3,2,3,1,3,2,5
4609875,126,1,51,5,3,5,3,1,5,6,1
4609875,127,1,31,4,3,4,5,2,2,2,7
4609875,128,1,33,2,1,3,1,5,6,4,6
4609875,129,2,72,2,3,6,4,4,7,6,3
4609875,130,2,68,3,3,7,6,1,7,2,7
4609875,131,2,34,2,3,2,7,2,2,3,7
4609875,132,1,66,2,3,2,5,6,6,1,3
4609875,133,1,40,4,1,2,5,2,7,5,4
4609875,134,1,39,5,4,7,1,6,4,6,5
4609875,135,2,19,3,3,3,6,5,6,6,3
4609875,136,2,46,3,3,3,5,5,5,5,3
4609875,137,1,23,4,1,5,4,7,6,3,2
4609875,138,1,59,5,1,1,7,4,5,5,7
4609875,139,2,48,4,1,1,2,1,4,7,5
4609875,140,1,68,3,2,5,5,7,3,2,2
4609875,141,1,48,4,2,6,5,1,4,2,6
4609875,142,2,48,5,2,2,3,5,5,3,2
4609875,143,2,40,3,2,1,3,7,2,5,1
4609875,144,2,20,5,2,1,5,3,6,5,4
4609875,145,1,35,5,1,5,4,5,1,2,1
4609875,146,2,30,3,3,1,5,2,2,6,7
4609875,147,1,60,2,2,3,6,5,4,6,5
4609875,148,1,58,5,4,7,4,6,3,6,4
4609875,149,2,61,5,1,5,5,3,7,2,6
4609875,150,1,41,5,1,5,1,1,6,2,6
4609875,151,1,29,5,2,2,6,1,6,2,4
4609875,152,1,69,3,2,6,3,7,1,1,6
4609875,153,1,56,1,2,6,4,4,7,2,1
4609875,154,1,60,5,3,1,3,7,5,1,4
4609875,155,1,43,4,1,4,5,5,5,3,3
4609875,156,1,57,1,1,4,3,1,7,6,6
4609875,157,2,26,2,3,2,4,1,1,4,6
4609875,158,1,37,4,2,3,5,2,2,5,3
4609875,159,1,39,3,3,3,2,5,6,6,1
4609875,160,2,63,1,1,7,4,4,1,1,3
4609875,161,2,45,3,4,1,6,6,1,4,6
4609875,162,2,52,5,4,5,5,3,2,4,4
4609875,163,2,40,2,3,3,2,6,1,6,7
4609875,164,2,19,5,3,7,3,1,5,7,3
4609875,165,2,28,3,2,2,1,7,4,3,5
4609875,166,1,36,3,4,2,4,3,5,4,5
4609875,167,2,26,1,3,1,3,5,4,7,2
4609875,168,1,71,3,2,4,4,7,5,1,6
4609875,169,2,60,1,4,5,3,4,5,4,6
4609875,170,2,30,3,2,4,3,5,1,2,5
4609875,171,1,36,1,1,5,2,6,5,6,4
4609875,172,2,51,1,3,1,2,6,7,7,1
4609875,173,1,37,2,1,6,4,2,6,1,2
4609875,174,2,54,1,1,4,2,7,4,6,1
4609875,175,1,38,5,2,7,2,3,7,3,1
4609875,176,2,71,3,1,3,4,4,4,5,7
4609875,177,2,18,4,4,7,1,4,6,7,2
4609875,178,2,61,4,2,1,2,6,1,1,6
4609875,179,2,47,1,4,2,2,5,1,7,7
4609875,180,2,19,5,1,6,4,1,2,7,5
4609875,181,2,45,3,2,5,7,1,4,3,4
4609875,182,1,53,1,3,7,2,7,4,2,5
4609875,183,2,65,3,4,5,3,5,2,3,4
4609875,184,2,20,1,2,3,4,2,1,5,2
4609875,185,2,41,1,1,1,4,3,6,3,6
4609875,186,2,49,2,4,7,2,3,3,2,6
4609875,187,1,39,4,4,7,6,7,1,7,1
4609875,188,1,40,3,2,6,5,5,4,2,1
4609875,189,2,75,3,1,3,5,5,4,5,7
4609875,190,2,37,3,3,2,7,1,1,7,2
4609875,191,1,69,5,4,3,6,7,6,7,4
4609875,192,2,75,5,2,7,6,5,6,1,4
4609875,193,2,74,2,3,6,4,7,2,1,4
4609875,194,1,69,3,1,6,2,7,4,1,7
4609875,195,2,70,3,2,1,6,3,2,6,5
4609875,196,2,38,1,3,2,4,6,5,6,4
4609875,197,1,45,5,3,6,2,4,2,6,3
4609875,198,1,61,1,2,3,5,6,1,4,6
4609875,199,2,54,2,3,2,5,7,6,1,1
4609875,200,1,28,5,3,1,7,3,6,4,6
4609875,201,1,59,5,4,3,6,5,6,7,2
4609875,202,1,46,1,1,7,1,3,5,6,5
4609875,203,2,18,1,1,2,1,2,2,4,7
4609875,204,1,59,4,3,5,7,2,5,2,7
4609875,205,1,69,2,4,5,1,1,7,7,1
4609875,206,2,23,3,4,4,3,4,3,2,7
4609875,207,2,33,5,3,4,5,7,1,3,7
4609875,208,1,57,4,3,3,5,1,2,5,5
4609875,209,1,19,2,2,5,3,2,1,5,4
4609875,210,2,65,3,3,2,2,5,7,3,5
4609875,211,1,27,1,1,5,4,1,5,3,7
4609875,212,2,66,3,1,2,6,1,1,5,6
4609875,213,2,32,1,1,1,1,7,5,7,5
4609875,214,1,55,5,1,3,5,1,6,4,3
4609875,215,1,25,1,1,6,2,7,4,5,5
4609875,216,2,32,3,2,2,5,7,1,3,6
4609875,217,1,63,2,2,4,1,6,2,1,7
4609875,218,1,56,3,1,7,4,3,6,4,6
4609875,219,2,69,5,3,7,5,6,3,1,2
4609875,220,2,50,2,1,2,2,2,5,3,2
4609875,221,1,54,2,3,6,4,1,1,6,2
4609875,222,1,67,3,4,7,1,5,5,3,3
4609875,223,2,46,4,3,2,1,2,4,1,4
4609875,224,1,74,1,2,1,1,4,3,3,2
4609875,225,1,22,5,1,6,7,2,1,3,6
4609875,226,2,53,1,1,2,3,1,2,3,3
4609875,227,2,31,3,1,1,6,1,6,4,4
4609875,228,1,34,1,3,3,4,2,3,6,2
4609875,229,1,29,1,1,1,7,1,3,3,4
4609875,230,1,56,5,4,3,4,7,2,3,2
4609875,231,2,40,4,1,1,7,6,2,3,6
4609875,232,2,44,4,1,1,1,4,3,3,1
4609875,233,2,51,4,1,3,2,1,3,3,4
4609875,234,2,22,2,2,7,2,1,3,1,2
4609875,235,1,55,1,1,6,2,3,1,2,2
4609875,236,1,29,4,1,5,6,6,3,3,5
4609875,237,1,62,1,4,6,3,2,3,6,3
4609875,238,2,45,3,2,7,5,1,3,7,4
4609875,239,1,55,1,4,1,4,7,3,7,4
4609875,240,1,19,5,3,5,4,1,3,5,1
4609875,241,2,64,1,3,1,1,1,7,1,4
4609875,242,1,27,2,1,4,3,4,5,6,3
4609875,243,1,47,5,3,3,4,3,1,7,2
4609875,244,2,25,3,1,4,2,1,2,4,7
4609875,245,2,56,3,2,2,3,3,1,2,6
4609875,246,1,74,3,3,7,2,2,6,1,6
4609875,247,2,28,1,3,5,3,5,5,7,3
4609875,248,1,18,4,4,7,3,3,6,2,1
4609875,249,1,22,2,2,3,3,1,2,2,2
4609875,250,1,48,2,2,3,5,5,5,4,2
4609875,251,2,46,4,1,1,5,6,1,6,7
4609875,252,1,64,2,4,6,4,4,3,6,3
4609875,253,2,57,5,2,6,6,1,6,4,6
4609875,254,2,20,4,2,7,3,1,2,3,2
4609875,255,1,65,3,2,6,5,4,5,7,3
4609875,256,2,63,3,3,2,2,1,7,7,5
4609875,257,2,69,4,2,7,1,1,1,6,7
4609875,258,2,25,5,2,5,3,2,4,1,3
4609875,259,1,66,3,3,7,6,1,1,5,6
4609875,260,2,47,5,4,4,3,7,4,3,5
4609875,261,1,75,3,1,5,4,2,3,7,3
4609875,262,2,31,4,2,3,4,1,2,1,5
4609875,263,1,20,5,2,5,5,3,1,4,5
4609875,264,1,52,4,4,3,4,2,7,3,6
4609875,265,1,48,3,4,2,1,1,4,4,5
4609875,266,2,57,5,2,1,7,2,4,7,2
4609875,267,1,48,2,4,2,2,4,5,4,5
4609875,268,2,20,5,3,4,7,7,5,5,5
4609875,269,1,29,5,2,4,4,4,2,1,2
4609875,270,1,52,3,3,5,1,6,2,5,5
4609875,271,1,28,1,3,7,1,2,6,1,1
4609875,272,1,72,4,1,7,1,3,1,1,3
4609875,273,1,42,2,1,6,7,4,3,4,6
4609875,274,1,23,2,2,2,1,7,3,7,6
4609875,275,1,18,4,2,1,2,6,1,1,7
4609875,276,2,66,5,2,6,5,3,4,5,6
4609875,277,2,63,1,2,6,3,6,3,1,1
4609875,278,1,41,3,3,7,7,7,4,4,5
4609875,279,1,73,5,4,2,5,7,1,7,6
4609875,280,1,47,1,4,4,2,6,5,3,7
4609875,281,1,70,5,4,7,4,6,1,1,4
4609875,282,2,72,4,3,4,2,6,5,6,7
4609875,283,2,19,2,3,4,6,5,4,3,1
4609875,284,1,54,2,2,4,4,2,3,5,4
4609875,285,1,22,4,4,5,6,3,7,3,6
4609875,286,1,52,5,1,2,4,6,7,7,7
4609875,287,2,53,3,3,3,7,2,6,5,4
4609875,288,2,37,2,3,2,1,5,7,1,7
4609875,289,1,31,5,3,7,5,4,1,4,1
4609875,290,2,36,1,4,3,5,7,7,3,5
4609875,291,2,73,5,2,7,7,2,7,2,7
4609875,292,1,50,2,3,2,5,4,6,6,7
4609875,293,2,41,3,1,4,1,2,2,3,1
4609875,294,1,50,3,2,7,4,1,7,5,6
4609875,295,1,62,4,1,2,5,3,5,5,4
4609875,296,2,45,3,1,5,5,1,7,1,2
4609875,297,1,31,1,3,2,2,3,5,5,5
4609875,298,1,61,1,4,6,4,2,2,5,2
4609875,299,1,51,2,4,7,7,3,4,2,2
4609875,300,1,42,3,1,6,6,7,1,5,5
4609875,301,1,42,2,4,3,6,1,1,7,1
4609875,302,1,44,2,4,7,5,6,3,6,2
4609875,303,2,44,1,2,2,2,6,7,3,2
4609875,304,2,46,1,1,2,3,2,6,5,5
4609875,305,1,72,2,4,7,5,7,3,3,3
4609875,306,2,65,5,1,4,3,7,6,7,6
4609875,307,1,28,1,3,4,3,1,6,7,1
4609875,308,1,66,1,3,3,4,7,2,4,5
4609875,309,2,48,5,1,1,2,1,4,2,7
4609875,310,2,25,1,4,2,4,1,1,1,3
4609875,311,1,66,5,3,3,6,1,7,4,2
4609875,312,2,25,3,4,1,4,2,3,6,2
4609875,313,1,18,5,2,5,6,3,5,6,2
4609875,314,1,63,2,4,7,2,7,7,4,7
4609875,315,2,55,5,1,6,3,4,6,4,5
4609875,316,2,29,2,2,6,2,6,3,2,2
4609875,317,1,49,5,4,6,6,2,3,2,3
4609875,318,2,46,2,4,6,2,4,2,4,6
4609875,319,2,26,4,2,3,7,2,4,2,1
4609875,320,1,55,3,3,3,2,2,5,1,7
4609875,321,2,20,5,4,6,7,2,7,5,5
4609875,322,1,69,4,2,3,4,3,2,1,2
4609875,323,2,48,2,3,7,5,3,3,2,3
4609875,324,2,28,4,3,2,1,6,7,1,2
4609875,325,1,30,3,2,6,2,3,7,7,7
4609875,326,1,39,5,3,3,5,3,6,7,4
4609875,327,1,65,5,4,1,1,1,5,3,2
4609875,328,2,41,1,1,5,2,5,5,2,7
4609875,329,2,65,3,3,5,1,2,3,1,2
4609875,330,2,49,2,3,7,5,4,7,6,4
4609875,331,2,54,2,3,4,6,3,6,3,3
4609875,332,2,47,4,2,5,6,7,2,4,2
4609875,333,1,20,4,3,5,1,1,2,3,6
4609875,334,1,41,1,3,5,3,3,2,4,6
4609875,335,1,56,2,3,2,4,5,6,2,5
4609875,336,1,61,5,2,6,4,4,1,6,6
4609875,337,1,35,4,2,6,1,1,4,6,6
4609875,338,2,32,1,1,4,4,1,2,6,5
4609875,339,2,40,3,1,2,3,1,1,6,4
4609875,340,1,70,4,2,4,1,6,6,2,3
4609875,341,1,41,4,4,7,3,2,1,5,5
4609875,342,1,26,4,4,5,1,3,1,5,2
4609875,343,2,70,1,2,3,2,4,3,2,3
4609875,344,1,60,2,1,2,5,7,5,1,2
4609875,345,1,70,1,1,2,2,2,6,1,4
4609875,346,2,53,4,1,3,2,7,3,2,7
4609875,347,1,62,5,3,5,4,1,5,2,2
4609875,348,2,27,5,4,3,4,7,2,6,5
4609875,349,1,70,4,3,1,4,7,7,4,6
4609875,350,2,53,4,4,3,5,1,7,5,4
4609875,351,1,55,2,2,2,6,6,6,6,4
4609875,352,2,47,4,3,7,2,7,6,5,1
4609875,353,1,56,1,4,7,6,1,7,2,2
4609875,354,2,65,1,2,3,5,1,6,1,2
4609875,355,2,26,1,3,1,5,3,7,4,3
4609875,356,2,64,5,4,3,6,5,6,7,1
4609875,357,2,22,5,2,7,4,1,4,6,5
4609875,358,1,50,1,1,3,3,7,3,4,7
4609875,359,1,75,4,1,6,4,6,6,4,5
4609875,360,2,41,4,1,3,4,5,6,5,3
4609875,361,1,33,5,3,4,1,3,5,2,2
4609875,362,2,58,1,3,3,4,7,7,1,4
4609875,363,2,25,2,1,4,6,6,4,3,2
4609875,364,1,52,1,2,1,5,4,5,5,6
4609875,365,2,69,1,1,5,2,4,2,7,2
4609875,366,1,20,5,1,3,3,5,7,2,5
4609875,367,2,39,1,4,3,1,7,1,5,4
4609875,368,2,73,2,3,5,3,1,6,1,5
4609875,369,2,25,4,1,1,1,2,1,7,6
4609875,370,1,59,5,2,1,1,4,2,6,1
4609875,371,2,25,3,4,7,6,7,3,2,4
4609875,372,1,38,5,1,7,4,6,4,7,6
4609875,373,1,36,4,1,4,1,5,4,6,6
4609875,374,1,20,4,3,4,1,1,1,6,2
4609875,375,2,74,5,2,5,6,3,7,7,4
4609875,376,2,70,4,4,5,7,5,3,2,1
4609875,377,1,20,5,1,2,4,1,5,6,1
4609875,378,2,64,2,4,6,4,7,7,2,4
4609875,379,2,24,4,1,1,2,1,4,4,1
4609875,380,2,57,2,4,4,7,7,3,4,1
4609875,381,2,50,2,3,7,4,5,7,4,7
4609875,382,1,68,4,3,4,6,2,4,6,1
4609875,383,2,21,2,3,7,7,7,6,4,3
4609875,384,2,23,3,3,7,5,5,2,2,3
4609875,385,1,41,1,1,3,7,1,6,6,4
4609875,386,1,20,1,3,1,6,2,3,7,7
4609875,387,1,18,3,1,7,3,1,1,3,2
4609875,388,1,41,4,1,1,5,7,2,2,5
4609875,389,2,22,3,1,1,5,4,5,7,2
4609875,390,2,68,3,1,3,2,7,1,1,3
4609875,391,1,35,3,2,3,4,2,6,3,6
4609875,392,1,53,5,3,4,3,7,1,2,6
4609875,393,2,68,2,3,7,2,2,7,6,4
4609875,394,1,75,4,2,7,4,5,1,3,4
4609875,395,2,35,1,3,4,6,2,5,3,2
4609875,396,1,47,4,4,5,5,3,4,7,5
4609875,397,1,26,1,4,3,4,1,5,7,4
4609875,398,1,73,1,2,3,1,1,3,5,2
4609875,399,1,39,1,4,7,7,5,3,2,3
4609875,400,2,27,2,3,2,4,2,6,3,2
4609875,401,1,45,2,3,4,4,1,5,1,6
4609875,402,1,38,5,2,7,3,7,7,1,4
4609875,403,1,34,4,3,6,7,5,3,7,2
4609875,404,1,41,2,4,7,2,5,7,2,2
4609875,405,1,50,5,4,5,3,1,6,4,7
4609875,406,2,53,4,3,1,7,3,1,3,7
4609875,407,1,52,1,2,2,6,7,4,2,6
4609875,408,2,30,5,2,6,7,5,7,4,2
4609875,409,1,60,3,3,4,5,5,1,2,7
4609875,410,2,26,1,4,5,2,7,2,6,2
4609875,411,2,69,1,2,7,6,7,2,5,5
4609875,412,1,70,1,2,5,6,5,6,1,7
4609875,413,1,72,1,4,4,6,1,4,2,7
4609875,414,1,45,1,2,4,2,2,4,4,7
4609875,415,1,72,4,3,5,1,5,2,1,4
4609875,416,1,73,1,4,7,4,7,6,3,7
4609875,417,1,47,5,2,3,5,2,6,5,5
4609875,418,1,37,2,1,2,6,4,6,1,5
4609875,419,2,74,4,2,6,5,3,7,7,3
4609875,420,2,68,2,3,1,1,7,5,7,7
